date,price,momentum,signal,rolling_mean,rolling_std,z_score,rolling_high,rolling_low,return,position,Gross_return,Turnover,Trading_Cost,Net_return,portfolio
2026-01-05,421.8,,0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
2026-01-06,425.35,,0,,,,,,0.00841631104789009,0.0,0.0,0.0,0.0,0.0,100000.0
2026-01-07,419.6,,0,,,,,,-0.013518279064300032,0.0,-0.0,0.0,0.0,-0.0,100000.0
2026-01-08,428.1,,0,,,,,,0.020257387988560582,0.0,0.0,0.0,0.0,0.0,100000.0
2026-01-09,432.75,,0,,,,,,0.010861948142957267,0.0,0.0,0.0,0.0,0.0,100000.0
2026-01-12,430.2,,0,,,,,,-0.0058925476603119975,0.0,-0.0,0.0,0.0,-0.0,100000.0
2026-01-13,437.9,,0,,,,,,0.01789865178986516,0.0,0.0,0.0,0.0,0.0,100000.0
2026-01-14,441.25,,0,,,,,,0.0076501484357158756,0.0,0.0,0.0,0.0,0.0,100000.0
2026-01-15,436.4,,0,,,,,,-0.010991501416430682,0.0,-0.0,0.0,0.0,-0.0,100000.0
2026-01-16,444.8,,0,,,,,,0.019248395967002896,0.0,0.0,0.0,0.0,0.0,100000.0
2026-01-19,449.15,,0,,,,,,0.009779676258992787,0.0,0.0,0.0,0.0,0.0,100000.0
2026-01-20,445.7,,0,,,,,,-0.00768117555382386,0.0,-0.0,0.0,0.0,-0.0,100000.0
2026-01-21,452.6,,0,,,,,,0.015481265425173918,0.0,0.0,0.0,0.0,0.0,100000.0
2026-01-22,458.3,,0,,,,,,0.012593901900132431,0.0,0.0,0.0,0.0,0.0,100000.0
2026-01-23,454.1,,0,,,,,,-0.00916430285838965,0.0,-0.0,0.0,0.0,-0.0,100000.0
2026-01-26,447.85,,0,,,,,,-0.013763488218454079,0.0,-0.0,0.0,0.0,-0.0,100000.0
2026-01-27,442.3,,0,,,,,,-0.012392542145807761,0.0,-0.0,0.0,0.0,-0.0,100000.0
2026-01-28,438.75,,0,,,,,,-0.008026226543070392,0.0,-0.0,0.0,0.0,-0.0,100000.0
2026-01-29,431.9,,0,,,,,,-0.015612535612535616,0.0,-0.0,0.0,0.0,-0.0,100000.0
2026-01-30,435.6,,0,438.71999999999997,10.818008864364739,-0.2884079722172757,,,0.008566797869877352,0.0,0.0,0.0,0.0,0.0,100000.0
2026-02-02,429.4,0.018018018018017834,0,439.1,10.314131848559729,-0.9404572427833138,458.3,419.6,-0.01423324150596883,0.0,-0.0,0.0,0.0,-0.0,100000.0
2026-02-03,423.85,-0.003526507581991356,0,439.025,10.424244261386676,-1.4557410225133494,458.3,419.6,-0.012925011644154494,0.0,-0.0,0.0,0.0,-0.0,100000.0
